Region,SubjectCount,Region_Clean
['L Middle Temporal Gyrus'],8,L Middle Temporal Gyrus
['L Fusiform Gyrus'],8,L Fusiform Gyrus
['Unknown'],8,Unknown
['L Insula Lobe'],7,L Insula Lobe
['R Fusiform Gyrus'],7,R Fusiform Gyrus
['L Hippocampus'],7,L Hippocampus
['L ParaHippocampal Gyrus'],7,L ParaHippocampal Gyrus
['L Postcentral Gyrus'],6,L Postcentral Gyrus
['L Inferior Temporal Gyrus'],6,L Inferior Temporal Gyrus
['L IFG (p Triangularis)'],6,L IFG (p Triangularis)
['R Inferior Temporal Gyrus'],5,R Inferior Temporal Gyrus
['R Middle Temporal Gyrus'],5,R Middle Temporal Gyrus
[],5,#VALUE!
['L Superior Temporal Gyrus'],5,L Superior Temporal Gyrus
['R ParaHippocampal Gyrus'],5,R ParaHippocampal Gyrus
['Left Cerebral White Matter'],5,Left Cerebral White Matter
['L IFG (p Orbitalis)'],5,L IFG (p Orbitalis)
['L Superior Orbital Gyrus'],4,L Superior Orbital Gyrus
['L IFG (p Opercularis)'],4,L IFG (p Opercularis)
['L Rectal Gyrus'],4,L Rectal Gyrus
['L ACC'],4,L ACC
['R Hippocampus'],4,R Hippocampus
['L Heschls Gyrus'],3,L Heschls Gyrus
['L Rolandic Operculum'],3,L Rolandic Operculum
['R Superior Temporal Gyrus'],3,R Superior Temporal Gyrus
['R Middle Frontal Gyrus'],3,R Middle Frontal Gyrus
['L Middle Frontal Gyrus'],3,L Middle Frontal Gyrus
['Right Cerebral White Matter'],3,Right Cerebral White Matter
['Left Amygdala'],3,Left Amygdala
['R Insula Lobe'],3,R Insula Lobe
['L SupraMarginal Gyrus'],3,L SupraMarginal Gyrus
['L Inferior Parietal Lobule'],2,L Inferior Parietal Lobule
['R ACC'],2,R ACC
['L Precentral Gyrus'],2,L Precentral Gyrus
['L Mid Orbital Gyrus'],2,L Mid Orbital Gyrus
['R IFG (p Triangularis)'],2,R IFG (p Triangularis)
['R Rectal Gyrus'],2,R Rectal Gyrus
['R Superior Orbital Gyrus'],2,R Superior Orbital Gyrus
['L PCC'],2,L PCC
['L Putamen'],2,L Putamen
['L Angular Gyrus'],2,L Angular Gyrus
['L Amygdala'],2,L Amygdala
['L Medial Temporal Pole'],2,L Medial Temporal Pole
['R IFG (p Opercularis)'],2,R IFG (p Opercularis)
['R Medial Temporal Pole'],2,R Medial Temporal Pole
['R IFG (p Orbitalis)'],2,R IFG (p Orbitalis)
['L Temporal Pole'],2,L Temporal Pole
['L Posterior-Medial Frontal'],1,L Posterior-Medial Frontal
['L Superior Frontal Gyrus'],1,L Superior Frontal Gyrus
['R Superior Frontal Gyrus'],1,R Superior Frontal Gyrus
['L MCC'],1,L MCC
['R MCC'],1,R MCC
['Right SMC supplementary motor cortex'],1,Right SMC supplementary motor cortex
['Left SFG superior frontal gyrus'],1,Left SFG superior frontal gyrus
['R Rolandic Operculum'],1,R Rolandic Operculum
['Right Amygdala'],1,Right Amygdala
['R Heschls Gyrus'],1,R Heschls Gyrus
['L Heschl Superior Temporal Gyrus'],1,L Heschl Superior Temporal Gyrus
['L Superior Parietal Lobule'],1,L Superior Parietal Lobule
['L Precuneus'],1,L Precuneus
['R Postcentral Gyrus'],1,R Postcentral Gyrus
['R Heschls Gyrus Superior Temporal Gyrus'],1,R Heschls Gyrus Superior Temporal Gyrus
['L Middle Occipital Gyrus'],1,L Middle Occipital Gyrus
['[]'],1,[]
['L Inferior Parietal Lobule '],1,L Inferior Parietal Lobule 
['L TPO'],1,L TPO
['R Cerebelum (IV-V)'],1,R Cerebelum (IV-V)
['R Caudate Nucleus'],1,R Caudate Nucleus
['R Temporal Pole'],1,R Temporal Pole
['R Cerebelum (III)'],1,R Cerebelum (III)
['R Putamen'],1,R Putamen
['R Olfactory cortex'],1,R Olfactory cortex
['R SupraMarginal Gyrus'],1,R SupraMarginal Gyrus
['Left Hippocampus'],1,Left Hippocampus
['Right Hippocampus'],1,Right Hippocampus
['L Anterior Nucleus of the thalamus'],1,L Anterior Nucleus of the thalamus
['L Pulvinar'],1,L Pulvinar
['L Middle Orbital Gyrus'],1,L Middle Orbital Gyrus
